,Player Link,Player Name,Season,Position,nationality
112,https://www.premierleague.com/players/64271/Mateusz-Bogusz/overview,Mateusz Bogusz,2021/22,Midfielder,Poland
113,https://www.premierleague.com/players/52175/Bendeguz-Bolla/overview,Bendeguz Bolla,2021/22,Defender,Hungary
114,https://www.premierleague.com/players/14793/Luke-Bolton/overview,Luke Bolton,2021/22,Midfielder,England
115,https://www.premierleague.com/players/16204/Willy-Boly/overview,Willy Boly,2021/22,Defender,Cote D’Ivoire
116,https://www.premierleague.com/players/23951/Jamie-Bowden/overview,Jamie Bowden,2021/22,Midfielder,Ireland
117,https://www.premierleague.com/players/8868/Jarrod-Bowen/overview,Jarrod Bowen,2021/22,Forward,England
118,https://www.premierleague.com/players/68582/Conor-Bradley/overview,Conor Bradley,2021/22,Midfielder,Northern Ireland
119,https://www.premierleague.com/players/4158/Robbie-Brady/overview,Robbie Brady,2021/22,Midfielder,Ireland
120,https://www.premierleague.com/players/66318/Jarrad-Branthwaite/overview,Jarrad Branthwaite,2021/22,Defender,England
121,https://www.premierleague.com/players/109775/Sammy-Braybrooke/overview,Sammy Braybrooke,2021/22,Midfielder,England
122,https://www.premierleague.com/players/19894/Mungo-Bridge/overview,Mungo Bridge,2021/22,Forward,England
123,https://www.premierleague.com/players/14636/Nathan-Broadhead/overview,Nathan Broadhead,2021/22,Forward,Wales
124,https://www.premierleague.com/players/31442/Armando-Broja/overview,Armando Broja,2021/22,Forward,Albania
125,https://www.premierleague.com/players/9457/Josh-Brownhill/overview,Josh Brownhill,2021/22,Midfielder,England
126,https://www.premierleague.com/players/23396/Bruno-Fernandes/overview,Bruno Fernandes,2021/22,Midfielder,Portugal
127,https://www.premierleague.com/players/74761/Bruno-Guimar%C3%A3es/overview,Bruno Guimarães,2021/22,Midfielder,Brazil
128,https://www.premierleague.com/players/25191/Bruno-Jord%C3%A3o/overview,Bruno Jordão,2021/22,Midfielder,Portugal
129,https://www.premierleague.com/players/19890/Lewis-Brunt/overview,Lewis Brunt,2021/22,Midfielder,England
130,https://www.premierleague.com/players/26408/Emiliano-Buend%C3%ADa/overview,Emiliano Buendía,2021/22,Midfielder,Argentina
131,https://www.premierleague.com/players/66692/Hugo-Bueno/overview,Hugo Bueno,2021/22,Defender,Spain
132,https://www.premierleague.com/players/8707/Dan-Burn/overview,Dan Burn,2021/22,Defender,England
133,https://www.premierleague.com/players/49267/Finley-Burns/overview,Finley Burns,2021/22,Defender,England
134,https://www.premierleague.com/players/4634/Jack-Butland/overview,Jack Butland,2021/22,Goalkeeper,England
135,https://www.premierleague.com/players/8945/Sam-Byram/overview,Sam Byram,2021/22,Defender,England
136,https://www.premierleague.com/players/10466/Willy-Caballero/overview,Willy Caballero,2021/22,Goalkeeper,Argentina
137,https://www.premierleague.com/players/2620/Gary-Cahill/overview,Gary Cahill,2021/22,Defender,England
138,https://www.premierleague.com/players/112203/Mois%C3%A9s-Caicedo/overview,Moisés Caicedo,2021/22,Midfielder,Ecuador
139,https://www.premierleague.com/players/32279/Jake-Cain/overview,Jake Cain,2021/22,Midfielder,England
140,https://www.premierleague.com/players/74817/Caleb-Chukwuemeka/overview,Caleb Chukwuemeka,2021/22,Forward,England
141,https://www.premierleague.com/players/14482/Callum-Rowe/overview,Callum Rowe,2021/22,Defender,England
142,https://www.premierleague.com/players/9576/Dominic-Calvert-Lewin/overview,Dominic Calvert-Lewin,2021/22,Forward,England
143,https://www.premierleague.com/players/74562/Leonardo-Campana/overview,Leonardo Campana,2021/22,Forward,Ecuador
144,https://www.premierleague.com/players/51648/Chem-Campbell/overview,Chem Campbell,2021/22,Midfielder,Wales
145,https://www.premierleague.com/players/13225/Sergi-Can%C3%B3s/overview,Sergi Canós,2021/22,Forward,Spain
146,https://www.premierleague.com/players/14944/Todd-Cantwell/overview,Todd Cantwell,2021/22,Midfielder,England
147,https://www.premierleague.com/players/74591/Elia-Caprile/overview,Elia Caprile,2021/22,Goalkeeper,Italy
148,https://www.premierleague.com/players/10430/Carlos-S%C3%A1nchez/overview,Carlos Sánchez,2021/22,Midfielder,Colombia
149,https://www.premierleague.com/players/50501/Carlos-Vin%C3%ADcius/overview,Carlos Vinícius,2021/22,Forward,Brazil
150,https://www.premierleague.com/players/3175/Andy-Carroll/overview,Andy Carroll,2021/22,Forward,England
151,https://www.premierleague.com/players/2250/Scott-Carson/overview,Scott Carson,2021/22,Goalkeeper,England
152,https://www.premierleague.com/players/13814/Cameron-Carter-Vickers/overview,Cameron Carter-Vickers,2021/22,Defender,United States
153,https://www.premierleague.com/players/53269/Oliver-Casey/overview,Oliver Casey,2021/22,Defender,England
154,https://www.premierleague.com/players/13344/Matthew-Cash/overview,Matthew Cash,2021/22,Defender,Poland
155,https://www.premierleague.com/players/6712/Timothy-Castagne/overview,Timothy Castagne,2021/22,Defender,Belgium
156,https://www.premierleague.com/players/3160/Craig-Cathcart/overview,Craig Cathcart,2021/22,Defender,Northern Ireland
157,https://www.premierleague.com/players/5771/Edinson-Cavani/overview,Edinson Cavani,2021/22,Forward,Uruguay
158,https://www.premierleague.com/players/7163/Dani-Ceballos/overview,Dani Ceballos,2021/22,Midfielder,Spain
159,https://www.premierleague.com/players/11347/C%C3%A9dric-Soares/overview,Cédric Soares,2021/22,Defender,Portugal
160,https://www.premierleague.com/players/51616/Kallum-Cesay/overview,Kallum Cesay,2021/22,Defender,England
161,https://www.premierleague.com/players/14575/Trevoh-Chalobah/overview,Trevoh Chalobah,2021/22,Defender,England
162,https://www.premierleague.com/players/4620/Calum-Chambers/overview,Calum Chambers,2021/22,Defender,England
